               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021355,           0.0081669,          0.00081625,             0.99083,             0.98286,              0.9936,             0.78812,            0.023953,           0.0051334,          0.00061933,            0.070303,           0.0032997,           0.0032997
                   1,            0.021828,           0.0078372,          0.00083699,             0.99712,             0.98971,             0.99381,             0.72904,             0.02443,           0.0051414,          0.00036908,            0.039646,           0.0059763,           0.0059763
                   2,            0.021608,           0.0084693,           0.0010263,             0.97615,             0.98515,               0.992,             0.75939,            0.021332,            0.005314,           0.0007436,           0.0083297,            0.007993,            0.007993
                   3,            0.021156,             0.00844,           0.0011351,              0.9859,             0.98176,             0.99307,               0.785,            0.018469,           0.0050399,            0.001366,             0.00703,             0.00703,             0.00703
                   4,            0.021004,           0.0081725,           0.0011814,             0.98698,             0.98178,             0.99361,             0.74968,            0.020858,           0.0052847,          0.00048086,             0.00703,             0.00703,             0.00703
                   5,            0.019635,           0.0080358,           0.0011318,             0.98767,             0.98183,             0.99229,             0.80057,            0.016708,           0.0048594,          0.00056047,             0.00604,             0.00604,             0.00604
                   6,            0.018618,           0.0077149,          0.00081441,             0.99141,              0.9839,             0.99303,              0.7903,             0.01805,            0.004892,          0.00036144,             0.00505,             0.00505,             0.00505
                   7,            0.017822,           0.0073149,          0.00081098,              0.9873,              0.9889,               0.994,             0.81528,            0.016331,           0.0046913,          0.00058549,             0.00406,             0.00406,             0.00406
                   8,            0.017041,           0.0072219,          0.00061404,             0.99431,             0.98567,             0.99386,             0.81651,            0.016257,           0.0046219,          0.00051866,             0.00307,             0.00307,             0.00307
                   9,            0.016558,           0.0071408,          0.00061519,              0.9899,             0.99091,             0.99434,             0.82152,            0.015453,           0.0045058,          0.00032973,             0.00208,             0.00208,             0.00208
